"Circuit Breaker","The Understanding","Röyksopp","324000","5","56","","99"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"City Of Angels","Love Lust Faith + Dreams","Thirty Seconds to Mars","302000","5","50","","327"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"City Of Dreams (Radio Edit) (feat. Ruben Haze)","City Of Dreams","Dirty South","226000","5","0","","0"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Cola (Robin Schulz Remix)","Cola (Robin Schulz Remix)","CamelPhat","195000","5","66","","156"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Cold War","Blood Type","Cautious Clay","202000","5","89","","82"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Cold Water (feat. Justin Bieber &amp; MØ)","Cold Water","Major Lazer","185000","5","81","","131"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Colors","BADLANDS (Deluxe)","Halsey","249000","5","203","","139"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Conquistador","Love Lust Faith + Dreams","THIRTY SECONDS TO MARS","192259","5","179","","285"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Control","BADLANDS (Deluxe)","Halsey","214000","5","77","","140"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Crash","These Times","SafetySuit","172000","5","33","","314"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Creatures Of The Night (feat. Austin Mahone)","Creatures Of The Night","Hardwell","180000","5","95","","189"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Cross That Line","Wax Wings","Joshua Radin","181000","5","31","","365"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Cry Tonight (Kiss Me Back) [Extended Mix]","Just Dance 2","Kim Sozzi","245000","5","47","","85"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Crystalised","Crystalised","The xx","201000","5","61","","262"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"CVS","CVS","Winnetka Bowling League","209000","5","30","","25"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Dance Monkey","Dance Monkey","Tones And I","209000","5","22","","28"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Dancin (Krono Remix) (feat. Luvli)","Dancin (Krono Remix)","Aaron Smith","198000","5","62","","84"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Dangerous","Always Never","Always Never","123000","5","99","","104"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Defend Atlantis","Survival Story","Flobots","302000","5","95","","293"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Dernière danse","Mini World","Indila","213000","5","56","","245"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Diddy Bop","Fifty Shades Freed (Original Motion Picture Soundtrack)","Jacob Banks","219000","5","73","","144"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Disappoint","Failure","Assemblage 23","333998","5","66","","298"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Do I Wanna Know?","Do I Wanna Know?","Arctic Monkeys","273000","5","140","","305"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Do What You Feel","Photograph","Dirty Vegas","241000","5","85","","232"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Don&#39;t Be so Hard on Yourself","I Cry When I Laugh","Jess Glynne","211000","5","84","","227"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Don&#39;t Let Go","Don&#39;t Let Go","Don Diablo &amp; Holly Winter","192000","5","65","","158"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Don&#39;t Rush","Hoax","Kevin Garrett","219000","5","37","","52"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Drive You Home","Overnight","Parachute","229000","5","29","","312"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Drum","Drum","MØ","187000","5","92","","211"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Duper","Fingerprint","Crooks on Tape","162000","5","42","","326"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Dynamite (feat. Pretty Sister)","Dynamite (feat. Pretty Sister)","Nause","195000","5","103","","204"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Edge Of Destruction (feat. Tech N9ne &amp; Twista)","Lace Up (Deluxe)","MGK","307000","5","45","","274"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Elevate (Single Edit)","Elevate","The Winery Dogs","265000","5","35","","324"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"everything i wanted","everything i wanted","Billie Eilish","245000","5","30","","30"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Eye of The Storm (feat. Gavin Beach)","Drive","Gareth Emery","245000","5","77","","228"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Faded","The Nightday EP","ZHU","223000","5","51","","51"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Farewell (feat. Chris Batson)","DC to Light","Morgan Page","198000","5","146","","233"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Feels Like Summer","Parallel Play","Panama Wedding","249000","5","91","","255"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Feels Like Summer","Summer Pack","Childish Gambino","297000","5","70","","96"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Feet Don&#39;t Fail Me Now","All I Need (Deluxe Version)","Foxes","203000","5","37","","48"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Finally Feel Good","Finally Feel Good","James Arthur","215000","5","80","","55"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Fingertips","Fingertips","Leo Kalyan","255000","5","24","","15"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Fire, Fire","Filthy Empire","Heaven&#39;s Basement","257000","5","29","","328"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Fix This","The Colourist","The Colourist","225000","5","61","","272"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Fools Gold","More Than Just a Dream","Fitz and The Tantrums","214000","5","68","","263"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"FOOLS","Blue Neighbourhood (Deluxe)","Troye Sivan","220000","5","79","","223"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
"Freak (Like Me)","Reveal","Underwhelmed","225000","5","34","","45"
Title,Album,Artist,Duration (ms),Rating,Play Count,Removed,Playlist Index
